Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL
PF3D7_0100100	PF3D7_0100100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:29,510..37,126(+)	erythrocyte membrane protein 1, PfEMP1	GO:0016021	integral component of membrane	GO:0046789	host cell surface receptor binding	GO:0009405	obsolete pathogenesis	GO:0020002;GO:0020030	host cell plasma membrane;infected host cell surface knob	GO:0050839	cell adhesion molecule binding	GO:0020033;GO:0098609;GO:0020035;GO:0020013	antigenic variation;cell-cell adhesion;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation	N/A	N/A
PF3D7_0100200	PF3D7_0100200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:38,982..40,207(-)	rifin	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole	N/A	N/A	GO:0020033;GO:0020035;GO:0020013	antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation	N/A	N/A
PF3D7_0100300	PF3D7_0100300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:42,367..46,507(-)	erythrocyte membrane protein 1, PfEMP1	GO:0016021	integral component of membrane	GO:0046789	host cell surface receptor binding	GO:0009405	obsolete pathogenesis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0100400	PF3D7_0100400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:50,363..51,636(+)	rifin	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole	GO:0046812	host cell surface binding	GO:0020033;GO:0020035;GO:0020013	antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation	N/A	N/A
PF3D7_0100500	PF3D7_0100500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:53,169..53,280(-)	erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0100600	PF3D7_0100600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:53,778..55,006(-)	rifin	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020002	host cell plasma membrane	N/A	N/A	GO:0020033	antigenic variation	N/A	N/A
PF3D7_0100700	PF3D7_0100700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:56,690..56,893(-)	Plasmodium exported protein, unknown function, fragment	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0100800	PF3D7_0100800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:59,772..61,003(+)	rifin	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole	N/A	N/A	GO:0020033;GO:0020035;GO:0020013	antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation	N/A	N/A
PF3D7_0100900	PF3D7_0100900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:62,187..63,400(-)	rifin	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole	N/A	N/A	GO:0020033;GO:0020035;GO:0020013	antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation	N/A	N/A
PF3D7_0101000	PF3D7_0101000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:65,817..66,989(-)	rifin	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole	N/A	N/A	GO:0020033;GO:0020035;GO:0020013	antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation	N/A	N/A
PF3D7_0101100	PF3D7_0101100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:69,304..70,417(-)	exported protein family 4	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020036	Maurer's cleft	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0101200	PF3D7_0101200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:71,624..72,426(+)	exported protein family 3	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020036;GO:0030430	Maurer's cleft;host cell cytoplasm	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0101300	PF3D7_0101300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:74,295..75,622(+)	Pfmc-2TM Maurer's cleft two transmembrane protein	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020036;GO:0016021;GO:0016020	Maurer's cleft;integral component of membrane;membrane	N/A	N/A	GO:0042000	translocation of peptides or proteins into host	N/A	N/A
PF3D7_0101400	PF3D7_0101400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:75,982..76,809(-)	exported protein family 1, pseudogene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0101500	PF3D7_0101500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:78,241..79,891(+)	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0101600	PF3D7_0101600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:81,765..83,106(-)	rifin	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020036;GO:0020002;GO:0020003	Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole	N/A	N/A	GO:0020033;GO:0020035;GO:0020013	antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation	N/A	N/A
PF3D7_0101700	PF3D7_0101700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:84,791..86,152(-)	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0101800	PF3D7_0101800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:87,203..88,177(-)	stevor	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020036	Maurer's cleft	N/A	N/A	GO:0020013	modulation by symbiont of host erythrocyte aggregation	N/A	N/A
PF3D7_0101900	PF3D7_0101900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:90,242..91,420(-)	rifin	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A	GO:0020002	host cell plasma membrane	N/A	N/A	GO:0020033	antigenic variation	N/A	N/A
PF3D7_0102000	PF3D7_0102000.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:93,113..93,875(-)	Plasmodium exported protein (PHISTa), unknown function, pseudogene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0102100	PF3D7_0102100.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:95,050..95,899(+)	stevor, pseudogene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0102200	PF3D7_0102200.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:97,590..103,615(+)	ring-infected erythrocyte surface antigen	N/A	N/A	N/A	N/A	N/A	N/A	GO:1903561;GO:0020020;GO:0020002;GO:0044228;GO:0020026;GO:0020003	extracellular vesicle;food vacuole;host cell plasma membrane;host cell surface;merozoite dense granule;symbiont-containing vacuole	GO:0005515	protein binding	GO:0050776	regulation of immune response	N/A	N/A
PF3D7_0102300	PF3D7_0102300.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:104,058..105,792(+)	Plasmodium exported protein, unknown function	N/A	N/A	N/A	N/A	N/A	N/A	GO:0020011;GO:0043657	apicoplast;host cell	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0102400	PF3D7_0102400.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:107,197..108,348(-)	lysophospholipase, putative, pseudogene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0102500	PF3D7_0102500.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:109,005..117,516(-)	erythrocyte binding antigen-181	GO:0016021	integral component of membrane	GO:0046789	host cell surface receptor binding	GO:0009405	obsolete pathogenesis	GO:1903561;GO:0020009	extracellular vesicle;microneme	GO:0008201;GO:0033691	heparin binding;sialic acid binding	GO:0098609;GO:0044409	cell-cell adhesion;entry into host	N/A	N/A
PF3D7_0102600	PF3D7_0102600.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:118,812..122,534(-)	serine/threonine protein kinase, FIKK family	GO:0016021	integral component of membrane	GO:0005524;GO:0004672	ATP binding;protein kinase activity	GO:0006468	protein phosphorylation	GO:0020036;GO:0005737;GO:0005634	Maurer's cleft;cytoplasm;nucleus	GO:0004674	protein serine/threonine kinase activity	GO:0035556;GO:0044003;GO:0006468	intracellular signal transduction;modulation by symbiont of host process;protein phosphorylation	2.7.11.1 (Non-specific serine/threonine protein kinase)	2.7.10.- (Protein-tyrosine kinases.);2.7.11.1 (Non-specific serine/threonine protein kinase)
PF3D7_0102700	PF3D7_0102700.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:124,394..126,213(+)	merozoite-associated tryptophan-rich antigen	N/A	N/A	N/A	N/A	N/A	N/A	GO:0009986	cell surface	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0102800	PF3D7_0102800.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:125,835..128,373(-)	seipin domain-containing protein, putative	GO:0005789;GO:0016021	endoplasmic reticulum membrane;integral component of membrane	N/A	N/A	GO:0006629;GO:0019915	lipid metabolic process;lipid storage	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PF3D7_0102900	PF3D7_0102900.1	Plasmodium falciparum 3D7	Pf3D7_01_v3:128,569..131,554(-)	aspartate--tRNA ligase	GO:0005737	cytoplasm	GO:0005524;GO:0004812;GO:0004815;GO:0003676;GO:0000166	ATP binding;aminoacyl-tRNA ligase activity;aspartate-tRNA ligase activity;nucleic acid binding;nucleotide binding	GO:0006422;GO:0006418	aspartyl-tRNA aminoacylation;tRNA aminoacylation for protein translation	GO:0017101;GO:0005829;GO:0005634	aminoacyl-tRNA synthetase multienzyme complex;cytosol;nucleus	GO:0003723;GO:0004815;GO:0042803	RNA binding;aspartate-tRNA ligase activity;protein homodimerization activity	GO:0006422	aspartyl-tRNA aminoacylation	6.1.1.12 (Aspartate--tRNA ligase)	6.1.1.12 (Aspartate--tRNA ligase)
