Gene ID	source_id	Organism	Product Description	Fold Change	Chosen Ref (floor)	Chosen Comp (floor)	3D7 2020 sense - 0hr 3D7 DAFT-seq	3D7 2020 sense - 8hr 3D7 DAFT-seq	3D7 2020 sense - 16hr 3D7 DAFT-seq	3D7 2020 sense - 40hr 3D7 DAFT-seq	3D7 2020 sense - 32hr 3D7 DAFT-seq	3D7 2020 sense - 48hr 3D7 DAFT-seq	3D7 2020 sense - 24hr 3D7 DAFT-seq
PF3D7_0100100	PF3D7_0100100.1	Plasmodium falciparum 3D7	erythrocyte membrane protein 1, PfEMP1	1	20.37	20.37	17.29	25.86	20.13	26.13	17.08	24.25	13.65
PF3D7_0100200	PF3D7_0100200.1	Plasmodium falciparum 3D7	rifin	1	2.20 (2.22)	2.2 (2.22)	0.3	2.25	6.68	1.41	1.3	1.61	2.91
PF3D7_0100300	PF3D7_0100300.1	Plasmodium falciparum 3D7	erythrocyte membrane protein 1, PfEMP1	1	1.93	1.93	7.36	20.23	12.39	1.06	0.7	6.22	2.08
PF3D7_0100400	PF3D7_0100400.1	Plasmodium falciparum 3D7	rifin	1	1.10 (1.97)	1.1 (1.97)	0.53	0.6	3.45	0.63	0.77	0.41	1.29
PF3D7_0100600	PF3D7_0100600.1	Plasmodium falciparum 3D7	rifin	1	0.33 (2.05)	0.33 (2.05)	0.28	0.21	1.19	0.22	0	0.42	0.38
PF3D7_0100700	PF3D7_0100700.1	Plasmodium falciparum 3D7	Plasmodium exported protein, unknown function, fragment	1	0.00 (10.83)	0 (10.83)	0	0	0	0	0	0	0
PF3D7_0100800	PF3D7_0100800.1	Plasmodium falciparum 3D7	rifin	1	0.09 (2.14)	0.09 (2.14)	0	0	0.21	0	0.21	0	0.2
PF3D7_0100900	PF3D7_0100900.1	Plasmodium falciparum 3D7	rifin	1	0.81 (2.1)	0.81 (2.1)	0.28	0.42	1.83	0.22	1.02	0.87	0.98
PF3D7_0101000	PF3D7_0101000.1	Plasmodium falciparum 3D7	rifin	1	0.36 (2.05)	0.36 (2.05)	0.27	0.83	0.4	0	0	0.43	0.57
PF3D7_0101100	PF3D7_0101100.1	Plasmodium falciparum 3D7	exported protein family 4	1	2.19 (2.38)	2.19 (2.38)	23.9	33.71	29.3	3.27	1.4	11.6	12.02
PF3D7_0101200	PF3D7_0101200.1	Plasmodium falciparum 3D7	exported protein family 3	1	0.62 (3.19)	0.62 (3.19)	10.26	16.14	8.36	1.01	0	4.3	1.49
PF3D7_0101300	PF3D7_0101300.1	Plasmodium falciparum 3D7	Pfmc-2TM Maurer's cleft two transmembrane protein	1	11.58	11.58	3.6	8.54	82.21	5.89	13.65	2.61	54.29
PF3D7_0101600	PF3D7_0101600.1	Plasmodium falciparum 3D7	rifin	1	1.39 (1.99)	1.39 (1.99)	0.8	1.01	4.25	1.47	0.39	1.45	1.12
PF3D7_0101800	PF3D7_0101800.1	Plasmodium falciparum 3D7	stevor	1	0.77 (2.54)	0.77 (2.54)	1.03	1.8	1.23	0.54	0.25	1.32	0.95
PF3D7_0101900	PF3D7_0101900.1	Plasmodium falciparum 3D7	rifin	1	1.39 (2.14)	1.39 (2.14)	0.86	2.82	2.91	1.13	0.42	1.78	0
PF3D7_0102200	PF3D7_0102200.1	Plasmodium falciparum 3D7	ring-infected erythrocyte surface antigen	1	3339.91	3339.91	8227.74	4628.53	1961.81	2339.11	231.41	6750.74	411.22
PF3D7_0102300	PF3D7_0102300.1	Plasmodium falciparum 3D7	Plasmodium exported protein, unknown function	1	81.14	81.14	56.88	35.07	33.62	71.56	146.87	44.06	182.85
PF3D7_0102500	PF3D7_0102500.1	Plasmodium falciparum 3D7	erythrocyte binding antigen-181	1	528.36	528.36	1106.76	297.43	88.65	719.1	120.1	1340.64	36.31
PF3D7_0102600	PF3D7_0102600.1	Plasmodium falciparum 3D7	serine/threonine protein kinase, FIKK family	1	57.52	57.52	23.55	79.82	178.54	16.9	17.63	21.75	66.17
PF3D7_0102700	PF3D7_0102700.1	Plasmodium falciparum 3D7	merozoite-associated tryptophan-rich antigen	1	57.57	57.57	129.18	75.93	35.06	47.69	16.51	77.32	21.39
PF3D7_0102800	PF3D7_0102800.1	Plasmodium falciparum 3D7	seipin domain-containing protein, putative	1	19.42	19.42	19.37	11.11	9.8	20.1	31.62	14.28	30.5
PF3D7_0102900	PF3D7_0102900.1	Plasmodium falciparum 3D7	aspartate--tRNA ligase	1	168.65	168.65	88.39	185.5	251.42	104.87	158.8	94.01	311.19
PF3D7_0103000	PF3D7_0103000.1	Plasmodium falciparum 3D7	vacuolar protein sorting-associated protein VTA1, putative	1	24.80	24.8	20.96	16.72	13.36	40.02	47.94	31.45	19.7
PF3D7_0103100	PF3D7_0103100.1	Plasmodium falciparum 3D7	vacuolar protein sorting-associated protein 51, putative	1	44.08	44.08	38.55	28.41	22.47	56.39	67.14	41.83	56.28
PF3D7_0103200	PF3D7_0103200.1	Plasmodium falciparum 3D7	nucleoside transporter 4	1	169.88	169.88	93.9	180.23	209.07	114.73	154	98.55	342.44
PF3D7_0103300	PF3D7_0103300.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	100.87	100.87	114.29	123.02	108.45	81.7	88.84	94.72	103.84
PF3D7_0103400	PF3D7_0103400.1	Plasmodium falciparum 3D7	zinc-carboxypeptidase, putative	1	291.85	291.85	331.95	191.87	243.63	326.68	294.56	380.54	315.51
PF3D7_0103500	PF3D7_0103500.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	42.02	42.02	44.12	40	35.75	37.39	46.08	37.05	61.79
PF3D7_0103600	PF3D7_0103600.1	Plasmodium falciparum 3D7	ATP-dependent DNA/RNA helicase PSH1	1	126.59	126.59	105.78	86.35	144.82	108.64	178.8	95.54	174.01
PF3D7_0103700	PF3D7_0103700.1	Plasmodium falciparum 3D7	L-seryl-tRNA(Sec) kinase, putative	1	67.97	67.97	66.97	83.26	75.44	52.73	62.05	56.53	80.97
PF3D7_0103800	PF3D7_0103800.1	Plasmodium falciparum 3D7	actin-related protein ARP1, putative	1	23.56	23.56	13.32	16	17.45	41.97	28.95	33.79	14.41
PF3D7_0103900	PF3D7_0103900.1	Plasmodium falciparum 3D7	parasite-infected erythrocyte surface protein	1	73.41	73.41	48.79	57.14	66.88	57.92	98.86	44.65	141.09
PF3D7_0104000	PF3D7_0104000.1	Plasmodium falciparum 3D7	thrombospondin-related sporozoite protein	1	4.30 (4.49)	4.3 (4.49)	5.42	0.91	1.31	7.6	9.18	2.34	3.79
PF3D7_0104100	PF3D7_0104100.1	Plasmodium falciparum 3D7	protein E140, putative	1	28.47	28.47	30.72	10.33	4.68	60.85	49.45	32.63	12.06
PF3D7_0104200	PF3D7_0104200.1	Plasmodium falciparum 3D7	StAR-related lipid transfer protein	1	414.18	414.18	669.83	209.61	173.71	556.12	308.5	766.29	223.26
PF3D7_0104300	PF3D7_0104300.1	Plasmodium falciparum 3D7	ubiquitin carboxyl-terminal hydrolase 1, putative	1	756.83	756.83	1687.68	740.25	553.39	558.07	309.12	1176.87	317.49
PF3D7_0104400	PF3D7_0104400.1	Plasmodium falciparum 3D7	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	1	96.83	96.83	105.32	74.48	80.95	99.04	108.45	113.12	98.7
PF3D7_0104500	PF3D7_0104500.1	Plasmodium falciparum 3D7	conserved protein, unknown function	1	106.61	106.61	69.24	128.4	162.01	51.14	79.38	55.49	201.89
PF3D7_0104600	PF3D7_0104600.1	Plasmodium falciparum 3D7	conserved Plasmodium protein, unknown function	1	32.66	32.66	35.44	37.48	35.1	24.45	28.38	25.62	43.99
PF3D7_0104700	PF3D7_0104700.1	Plasmodium falciparum 3D7	major facilitator superfamily-related transporter, putative	1	1.84	1.84	2.08	2.73	1.31	1.97	0.3	2.47	2.33
PF3D7_0104800	PF3D7_0104800.1	Plasmodium falciparum 3D7	novel putative transporter 1, putative	1	54.32	54.32	55.69	21.98	14.48	86.57	63.73	66.6	71.87
PF3D7_0105100	PF3D7_0105100.1	Plasmodium falciparum 3D7	conserved Apicomplexan protein, unknown function	1	20.45	20.45	21.44	12.29	6.43	18.89	31.16	13.18	40.3
