A0A140KXU9	PF3D7_API00100
A0A140KXV7	PF3D7_API02000
A0A140KXV8	PF3D7_API02100
A0A140KXW0	PF3D7_API02300
A0A140KXW6	PF3D7_API02900
A0A140KXW8	PF3D7_API03500
A0A140KXW9	PF3D7_API03600
A0A140KXX4	PF3D7_API04300
A0A140KXX5	PF3D7_API04400
A0A143ZUM0	PF3D7_0107800
A0A143ZV51	PF3D7_0108400
A0A143ZV68	PF3D7_0314200
A0A143ZVA4	PF3D7_0529400
A0A143ZVA5	PF3D7_0530750
A0A143ZVA6	PF3D7_0526200
A0A143ZVB3	PF3D7_0902600
A0A143ZVB5	PF3D7_0625000
A0A143ZVB6	PF3D7_0903600
A0A143ZVC0	PF3D7_0928000
A0A143ZVC5	PF3D7_0930400
A0A143ZVC8	PF3D7_1344400
A0A143ZVD1	PF3D7_1351800
A0A143ZVI0	PF3D7_0700300
A0A143ZVI1	PF3D7_0700500
A0A143ZVI9	PF3D7_0705800
A0A143ZVJ1	PF3D7_0706200
A0A143ZVJ7	PF3D7_0717600
A0A143ZVJ8	PF3D7_0719500
A0A143ZVK7	PF3D7_0800400
A0A143ZVL3	PF3D7_0805900
A0A143ZVL6	PF3D7_0806700
A0A143ZVM1	PF3D7_0831600
A0A143ZVM5	PF3D7_0831800
A0A143ZVN0	PF3D7_0832800
A0A143ZVN3	PF3D7_0833000
A0A143ZVW0	PF3D7_0700200
A0A143ZVW7	PF3D7_0704300
A0A143ZVX7	PF3D7_0717000
A0A143ZVZ5	PF3D7_0805800
A0A143ZW02	PF3D7_0831500
A0A143ZW11	PF3D7_0832600
A0A143ZW87	PF3D7_0408900
A0A143ZW95	PF3D7_0608310
A0A143ZWA3	PF3D7_0905700
A0A143ZWB4	PF3D7_1303200
A0A143ZWC2	PF3D7_1361500
A0A143ZWD4	PF3D7_0700800
A0A143ZWD5	PF3D7_1000500
A0A143ZWE7	PF3D7_0710400
A0A143ZWE8	PF3D7_0203700
A0A143ZWF7	PF3D7_0720900
A0A143ZWG8	PF3D7_0800700
A0A143ZWH4	PF3D7_0414200
A0A143ZWH6	PF3D7_0205700
A0A143ZWH7	PF3D7_0806900
A0A143ZWI3	PF3D7_0613000
A0A143ZWI7	PF3D7_0832000
A0A143ZWJ1	PF3D7_0207300
A0A143ZWJ2	PF3D7_0905700
A0A143ZWJ4	PF3D7_0833100
A0A143ZWJ6	PF3D7_1304200
A0A143ZWL4	PF3D7_1371700
A0A143ZWN4	PF3D7_0701100
A0A143ZWP5	PF3D7_0713200
A0A143ZWS3	PF3D7_0213600
A0A143ZWS9	PF3D7_0810700
A0A143ZWT2	PF3D7_0216300
A0A143ZWT9	PF3D7_0832200
A0A143ZWV2	PF3D7_0833200
A0A143ZX23	PF3D7_0314100
A0A143ZX28	PF3D7_1002400
A0A143ZX45	PF3D7_0619000
A0A143ZX57	PF3D7_0911500
A0A143ZX62	PF3D7_1006300
A0A143ZX69	PF3D7_1327900
A0A143ZX72	PF3D7_1006100
A0A143ZXA3	PF3D7_0715400
A0A143ZXB3	PF3D7_1014000
A0A143ZXB4	PF3D7_0729600
A0A143ZXB9	PF3D7_0109950
A0A143ZXC4	PF3D7_0804700
A0A143ZXC7	PF3D7_0401600
A0A143ZXD1	PF3D7_1015700
A0A143ZXD4	PF3D7_0812200
A0A143ZXE1	PF3D7_0529400
A0A143ZXE3	PF3D7_0832400
A0A143ZXE4	PF3D7_1038000
A0A143ZXE7	PF3D7_1015200
A0A143ZXG1	PF3D7_0929700
A0A143ZXG5	PF3D7_1040600
A0A143ZXG9	PF3D7_1019500
A0A143ZXH0	PF3D7_1351800
A0A143ZXI1	PF3D7_0700400
A0A143ZXJ2	PF3D7_0706100
A0A143ZXK1	PF3D7_0718600
A0A143ZXL1	PF3D7_0732800
A0A143ZXM1	PF3D7_0806100
A0A143ZXM2	PF3D7_1021800
A0A143ZXP1	PF3D7_0832900
A0A143ZXR3	PF3D7_1110700
A0A143ZXT2	PF3D7_1027700
A0A143ZXT6	PF3D7_1031400
A0A143ZXW4	PF3D7_0221000
A0A143ZXY0	PF3D7_1013400
A0A143ZXY8	PF3D7_1117600
A0A143ZXZ7	PF3D7_0105400
A0A143ZY06	PF3D7_0314100
A0A143ZY16	PF3D7_0501100
A0A143ZY25	PF3D7_0621350
A0A143ZY29	PF3D7_1005500
A0A143ZY32	PF3D7_0202600
A0A143ZY34	PF3D7_0921000
A0A143ZY44	PF3D7_1330000
A0A143ZY51	PF3D7_1038700
A0A143ZY53	PF3D7_0700100
A0A143ZY63	PF3D7_1009600
A0A143ZY73	PF3D7_0716400
A0A143ZY93	PF3D7_0805600
A0A143ZYA4	PF3D7_0818600
A0A143ZYA5	PF3D7_1025900
A0A143ZYA8	PF3D7_1110100
A0A143ZYB5	PF3D7_0832500
A0A143ZYC1	PF3D7_1027900
A0A143ZYC4	PF3D7_1129500
A0A143ZYC7	PF3D7_0221700
A0A143ZYI9	PF3D7_1135500
A0A143ZYJ4	PF3D7_1034800
A0A143ZYK0	PF3D7_0217400
A0A143ZYK6	PF3D7_1114100
A0A143ZYL5	PF3D7_1036900
A0A143ZYQ2	PF3D7_1119200
A0A143ZYR7	PF3D7_1029100
A0A143ZYU5	PF3D7_1124200
A0A143ZYV4	PF3D7_1145600
A0A143ZYV5	PF3D7_1125200
A0A143ZYW1	PF3D7_1128900
A0A143ZYZ7	PF3D7_1037000
A0A143ZZ50	PF3D7_1015200
A0A143ZZ93	PF3D7_1001100
A0A143ZZC6	PF3D7_1111600
A0A143ZZD7	PF3D7_1036400
A0A143ZZE4	PF3D7_1126300
A0A143ZZF4	PF3D7_1206900
A0A143ZZG4	PF3D7_1207900
A0A143ZZG7	PF3D7_1146300
A0A143ZZH9	PF3D7_1144100
A0A143ZZK9	PF3D7_1211900
A0A143ZZL4	PF3D7_1205300
A0A143ZZN7	PF3D7_1106300
A0A143ZZN8	PF3D7_0618900
A0A143ZZP8	PF3D7_0908300
A0A143ZZR0	PF3D7_1217100
A0A143ZZR4	PF3D7_1036700
A0A143ZZR8	PF3D7_1372300
A0A143ZZS2	PF3D7_1019500
A0A143ZZT8	PF3D7_0715300
A0A143ZZU2	PF3D7_1021400
A0A143ZZU6	PF3D7_1112900
A0A143ZZW7	PF3D7_0812220
A0A143ZZX7	PF3D7_0832300
A0A143ZZY8	PF3D7_0833500
A0A143ZZY9	PF3D7_1104700
A0A144A024	PF3D7_1214500
A0A144A039	PF3D7_1031400
A0A144A041	PF3D7_1200610
A0A144A060	PF3D7_1202500
A0A144A0A3	PF3D7_1230000
A0A144A0B2	PF3D7_1038300
A0A144A0B3	PF3D7_1117200
A0A144A0B4	PF3D7_1231000
A0A144A0C0	PF3D7_1237600
A0A144A0F5	PF3D7_1149100
A0A144A0I2	PF3D7_1238000
A0A144A0J9	PF3D7_1202600
A0A144A0M2	PF3D7_1128000
A0A144A0N0	PF3D7_1243500
A0A144A0N6	PF3D7_1249200
A0A144A0S1	PF3D7_1247600
A0A144A0T0	PF3D7_1247000
A0A144A0T7	PF3D7_1254600
A0A144A0T9	PF3D7_1116900
A0A144A0U1	PF3D7_1249600
A0A144A0U7	PF3D7_1213900
A0A144A0V8	PF3D7_1249900
A0A144A0W6	PF3D7_1149300
A0A144A0W9	PF3D7_1402700
A0A144A0Z1	PF3D7_1404600
A0A144A0Z5	PF3D7_1247700
A0A144A0Z6	PF3D7_1202000
A0A144A102	PF3D7_1141200
